itemid,appno,docname,country_name,country_code,articles,year,judgement_date,applicant_type,has_violation,violation_count,no_violation_count,violated_articles,no_violation_articles,has_mixed_decision,judge_president,judge_count,judge_names_list
001-175680,45498/11,CASE OF SKLYAR v. RUSSIA,Russian Federation,ru,"3, 6",2017,18/07/2017 00:00:00,Individual,True,1,1,3,6-3-c,False,Helena Jäderblom,8,Helena Jäderblom|Branko Lubarda|Helen Keller|Dmitry Dedov|Pere Pastor Vilanova|Georgios A. Serghides|Jolien Schukking|Stephen Phillips
001-168352,18860/07,CASE OF YABLOKO RUSSIAN UNITED DEMOCRATIC PARTY AND OTHERS v. RUSSIA,Russian Federation,ru,p1-3,2016,08/11/2016 00:00:00,Political Party,True,1,1,p1-3,p1-3,False,Luis López Guerra,8,Luis López Guerra|Helena Jäderblom|Helen Keller|Dmitry Dedov|Branko Lubarda|Pere Pastor Vilanova|Georgios A. Serghides|Stephen Phillips
001-79133,75567/01,CASE OF OBERWALDER v. SLOVENIA,Slovenia,si,6,2007,18/01/2007 00:00:00,Individual,True,1,0,6-1,,False,MrJ. Hedigan,8,MrJ. Hedigan|MrB.M. Zupančič|MrC. Bîrsan|MrV. Zagrebelsky|MrsA. Gyulumyan|MrDavid Thór Björgvinsson|MrsI. Ziemele|Mr V. Berger
001-113718,50031/11,CASE OF RAKHMONOV v. RUSSIA,Russian Federation,ru,5,2012,16/10/2012 00:00:00,Individual,True,1,0,5,,False,Nina Vajić,8,Nina Vajić|Anatoly Kovler|Khanlar Hajiyev|Mirjana Lazarova Trajkovska|Julia Laffranque|Linos-Alexandre Sicilianos|Erik Møse|Søren Nielsen
001-90583,42894/04;42904/04;42905/04;42906/04;42907/04;42908/04;42909/04;42910/04,CASE OF ARAT AND OTHERSv. TURKEY,Turkey,tr,"6, p1-1",2009,13/01/2009 00:00:00,Multiple Applicants,True,2,0,"6, p1-1",,False,Françoise Tulkens,8,Françoise Tulkens|Ireneu Cabral Barreto|Vladimiro Zagrebelsky|Danutė Jočienė|András Sajó|Nona Tsotsoria|Işıl Karakaş|Sally Dollé
001-170351,27153/07,CASE OF CACUCI AND S.C. VIRRA & CONT PAD S.R.L. v. ROMANIA,Romania,ro,"13, 8",2017,17/01/2017 00:00:00,Individual,True,1,3,8,"8, 8-1, 13",False,András Sajó,8,András Sajó|Vincent A. De Gaetano|Nona Tsotsoria|Paulo Pinto de Albuquerque|Krzysztof Wojtyczek|Iulia Motoc|Marko Bošnjak|Marialena Tsirli
001-91744,37208/04,CASE OF LEBEDINTSEVA v. UKRAINE,Ukraine,ua,6,2009,12/03/2009 00:00:00,Individual,True,1,0,6,,False,Peer Lorenzen,8,Peer Lorenzen|Rait Maruste|Karel Jungwiert|Mark Villiger|Mirjana Lazarova Trajkovska|Zdravka Kalaydjieva|Stanislav Shevchuk|Claudia Westerdiek
001-187925,43639/12,CASE OF KHANH v. CYPRUS,Cyprus,cy,3,2018,04/12/2018 00:00:00,Individual,True,1,0,3,,False,Branko Lubarda,4,Branko Lubarda|Pere Pastor Vilanova|Georgios A. Serghides|Fatoş Aracı
001-186433,7972/09,CASE OF FEDCHENKO v. RUSSIA (No. 3),Russian Federation,ru,10,2018,02/10/2018 00:00:00,Individual,True,1,0,10,,False,Vincent A. De Gaetano,8,Vincent A. De Gaetano|Branko Lubarda|Helen Keller|Dmitry Dedov|Pere Pastor Vilanova|Georgios A. Serghides|Jolien Schukking|Stephen Phillips
001-83278,29361/02,CASE OF KUKAYEV v. RUSSIA,Russian Federation,ru,"2, 35, 13, 34, 38, 41, 3",2007,15/11/2007 00:00:00,Individual,True,7,0,"2, 3, 2, 13, 3, 13, 38",,True,MrP. Lorenzen,8,MrP. Lorenzen|MrsS. Botoucharova|MrK. Jungwiert|MrV. Butkevych|MrsM. Tsatsa-Nikolovska|MrR. Maruste|MrA. Kovler|Mrs C. Westerdiek
